,,,,,,,,,,, ,
,,,,,,,,,,,,
Assigned,BRANCH ,Customer,Account Status,Collection Status,PHASE,COMMUNICATION SCHEDULE,Note/Contact Date,Collections Team - Notes,Action Item / Follow-up Items,Local Management Note Date,Local Management Notes,Days since contact
Sylvia,,"INNOVATIVE ENGINEERING SYSTEMS, INC. DBA",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,Bakersfield ,JM PIPELINE CONSTRUCTION INC.,Active,Promise to Pay,COLLECTION TEAM,WEEKLY,3/6/2026,"$9,130.91 Ck-2782 Jordan pick up Payment/Check Account paid in full.  -following up with Lorena, regarding payment on those January invoices, see if payment today or next week. (bakersfield job)",,,,75
Josie,Bakersfield ,PATRIOT ENVIRONMENTAL,Active,Paid,COLLECTION TEAM,WEEKLY,3/10/2026,No open balance in Quick books ,,,,71
Sylvia,Bakersfield,PACIFIC UTILITY PIPELINE INC,Active,Contacted,COLLECTION TEAM,WEEKLY,2/19/2026,"email Denise balance report regarding January invoices, see if received             (bakersfield job)",,,,90
Sylvia,,"TLC DIRECTIONAL DRILLING, INC",Active,Contacted,COLLECTION TEAM,WEEKLY,2/5/2026,"Shanna replied to email, said she has one invoice but missing invoice #00003625, emailed invoice to her.",,,,104
Sylvia,Orange County,COLORADO WEST CONSTRUCTION,Active,Contacted,COLLECTION TEAM,WEEKLY,2/17/2026,"Ck-53364 $1,495.00",,,,92
Josie,Bakersfield ,PAVLETICH ELECTRIC,Active,Contacted,COLLECTION TEAM,WEEKLY,2/6/2026,said that yes they have invoice and it is pending 00003492 payment was recevied for 00003492,,,,103
Josie,Balersfield ,"S & B SONS, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,2/18/2026,Invoice  00003546 Paid 1/17/26,,,,91
Josie,,GONDOLA'S LANDSCAPING & LAWN CARE INC,Active,Contacted,COLLECTION TEAM,WEEKLY,2/3/2026,Said to get with Paula and remind him next week ,,,,106
Josie,AG ,"CALIFIA FARMS, LLC.",Active,Contacted,COLLECTION TEAM,WEEKLY,2/9/2026,Emailed invoice to approve called  saidshe recalled the email wrong company ,,,,100
Josie,,"SUMMIT CAPITAL VENTURES, INC. DBA JOHN BA",Active,Contacted,COLLECTION TEAM,WEEKLY,2/6/2026,"Paid today $3,927.20",,,,103
Josie,Bakersfield ,MPS CONSTRUCTION MANAGEMENT CONSULTING,Active,Contacted,COLLECTION TEAM,WEEKLY,10/31/2025,Emailed  asking if customer pay's in ful that SFN will give a discount of 2% waiting on response,,,,201
Sylvia,,Browns Construction,Active,Contacted,COLLECTION TEAM,WEEKLY,1/26/2026,"following up with Danniel by email thread regarding payment status on those October invoices,  Last time he mentioned he would let his controller know and get back to us. waiting for another response.",,,,114
